wage educ exper tenure nonwhite female married numdep smsa northcen south west construc ndurman trcommpu trade services profserv profocc clerocc servocc lwage expersq tenursq
7.14 18 13 0 0 0 1 2 1 0 0 0 0 0 0 0 0 1 1 0 0 1.97 169 0
4.5 9 22 5 0 0 1 4 1 0 0 0 0 0 0 0 0 0 0 0 0 1.5 484 25
4.65 16 3 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1.54 9 1
2.9 10 4 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1.06 16 0
6.67 12 7 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1.9 49 25
3.5 12 6 2 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1.25 36 4
3.26 12 13 3 0 1 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1.18 169 9
3.25 12 14 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1.18 196 0
8 12 14 4 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 2.08 196 16
9.85 8 40 24 1 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2.29 1600 576
7.5 12 11 7 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2.01 121 49
5.91 12 14 6 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1.78 196 36
11.76 14 40 39 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 2.46 1600 1521
3 12 1 0 0 1 0 2 1 0 0 0 0 0 0 1 0 0 1 0 0 1.1 1 0
4.81 12 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1.57 4 0
6.5 12 4 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1.87 16 1
4 9 19 1 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1.39 361 1
3.5 13 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1.25 1 0
13.16 12 34 22 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 2.58 1156 484
4.25 14 5 2 0 0 1 2 1 0 0 0 0 0 0 1 0 0 0 0 0 1.45 25 4
3.5 12 3 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1.25 9 0
5.13 15 6 6 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1.64 36 36
3.75 12 14 0 0 1 1 3 1 0 0 0 0 0 0 0 1 0 0 0 1 1.32 196 0
4.5 12 35 12 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1.5 1225 144
7.63 12 8 4 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 2.03 64 16
15 14 7 7 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2.71 49 49
6.85 15 11 3 0 1 1 2 1 0 0 0 0 0 0 0 0 1 1 0 0 1.92 121 9
13.33 12 14 11 0 0 1 2 1 0 0 0 0 0 0 1 0 0 1 0 0 2.59 196 121
6.67 12 35 10 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1.9 1225 100
2.53 12 46 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0.93 2116 0
9.8 17 7 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 2.28 49 0
3.37 11 45 12 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1.21 2025 144
24.98 18 29 25 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3.22 841 625
5.4 12 6 3 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1.69 36 9
6.11 14 15 0 0 0 1 2 1 0 0 0 0 0 0 1 0 0 1 0 0 1.81 225 0
4.2 14 33 16 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1.44 1089 256
3.75 10 15 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1.32 225 0
3.5 14 5 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1.25 25 0
3.64 12 7 2 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1.29 49 4
3.8 15 6 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1.34 36 1
3 8 33 12 0 1 1 3 0 0 1 0 0 1 0 0 0 0 0 0 0 1.1 1089 144
5 16 2 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1.61 4 1
4.63 14 4 0 0 1 1 2 1 0 1 0 0 0 0 0 0 1 0 0 1 1.53 16 0
3 15 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1.1 1 0
3.2 12 29 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1.16 841 0
3.91 18 17 3 0 0 1 2 0 0 1 0 0 0 0 0 0 1 1 0 0 1.36 289 9
6.43 16 17 3 0 1 1 2 0 0 1 0 0 0 0 0 0 1 1 0 0 1.86 289 9
5.48 10 36 3 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1.7 1296 9
1.5 8 31 30 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0.41 961 900
2.9 10 23 2 0 1 0 2 0 0 1 0 0 0 0 0 0 1 0 0 1 1.06 529 4
5 11 13 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1.61 169 1
8.92 18 3 3 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 2.19 9 9
5 15 15 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1.61 225 0
3.52 12 48 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1.26 2304 1
2.9 11 6 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1.06 36 0
4.5 12 12 0 0 0 1 3 1 0 1 0 0 0 0 1 0 0 0 0 0 1.5 144 0
2.25 12 5 0 0 1 0 2 1 0 1 0 0 0 0 1 0 0 0 0 1 0.81 25 0
5 14 19 5 0 0 1 4 1 0 1 0 0 0 0 1 0 0 0 0 0 1.61 361 25
10 16 9 3 1 0 1 2 1 0 1 0 0 0 0 0 0 0 1 0 0 2.3 81 9
3.75 2 39 13 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1.32 1521 169
10 14 28 11 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 2.3 784 121
10.95 16 23 20 0 0 1 4 1 0 1 0 0 1 0 0 0 0 1 0 0 2.39 529 400
7.9 12 2 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 2.07 4 0
4.72 12 15 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1.55 225 1
5.84 13 5 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1.76 25 0
3.83 12 18 2 0 1 0 3 1 0 1 0 0 0 0 0 0 0 0 1 0 1.34 324 4
3.2 15 2 2 0 1 0 2 1 0 1 0 0 0 1 0 0 0 0 0 0 1.16 4 4
2 10 3 0 1 1 0 5 1 0 1 0 0 0 0 1 0 0 0 0 1 0.69 9 0
4.5 12 31 4 0 1 1 3 1 0 1 0 0 0 0 0 0 1 0 1 0 1.5 961 16
11.55 16 20 5 0 1 1 3 1 0 1 0 1 0 0 0 0 0 0 1 0 2.45 400 25
2.14 13 34 15 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0.76 1156 225
2.38 9 5 0 1 0 0 5 1 0 1 0 0 0 0 0 0 0 0 0 1 0.87 25 0
3.75 12 11 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1.32 121 0
5.52 13 31 3 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1.71 961 9
6.5 12 8 5 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 1.87 64 25
3.1 12 2 2 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1.13 4 4
10 14 18 5 0 0 1 2 1 0 1 0 0 0 0 0 0 0 1 0 0 2.3 324 25
6.63 16 3 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1.89 9 0
10 16 3 2 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 2.3 9 4
2.31 9 4 1 0 1 0 5 0 1 0 0 0 0 0 1 0 0 0 0 1 0.84 16 1
6.88 18 4 4 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1.93 16 16
2.83 10 1 0 0 0 0 4 1 1 0 0 0 0 0 1 0 0 0 0 0 1.04 1 0
3.13 10 1 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 1.14 1 0
8 13 28 5 0 0 1 1 1 1 0 0 0 0 0 0 1 0 1 0 0 2.08 784 25
4.5 12 47 4 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1.5 2209 16
8.65 18 13 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 2.16 169 1
2 13 2 6 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0.69 4 36
4.75 12 48 2 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1.56 2304 4
6.25 13 6 5 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1.83 36 25
6 13 8 0 0 0 1 2 1 1 0 0 0 0 0 0 0 1 0 0 1 1.79 64 0
15.38 13 25 21 0 0 1 2 1 1 0 0 0 0 0 0 0 1 1 0 0 2.73 625 441
14.58 18 13 7 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 2.68 169 49
12.5 12 8 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2.53 64 1
5.25 12 19 10 0 1 1 2 1 1 0 0 0 0 1 0 0 0 0 1 0 1.66 361 100
2.17 13 1 4 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0.77 1 16
7.14 12 43 5 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1.97 1849 25
6.22 12 19 9 0 1 1 1 1 1 0 0 0 0 0 0 0 1 0 1 0 1.83 361 81
9 12 11 5 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 2.2 121 25
10 14 43 4 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 2.3 1849 16
5.77 10 44 3 0 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1.75 1936 9
4 12 22 11 0 1 1 2 1 1 0 0 0 1 0 0 0 0 0 0 0 1.39 484 121
8.75 16 3 2 0 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 2.17 9 4
6.53 16 3 2 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1.88 9 4
7.6 12 41 11 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 2.03 1681 121
5 14 5 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1.61 25 0
5 12 14 11 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1.61 196 121
21.86 12 24 16 0 0 1 3 1 1 0 0 0 0 0 1 0 0 1 0 0 3.08 576 256
8.64 12 28 8 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 2.16 784 64
3.3 12 25 8 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1.19 625 64
4.44 12 3 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1.49 9 0
4.55 12 11 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1.52 121 0
3.5 12 7 6 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1.25 49 36
6.25 16 9 2 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 0 1.83 81 4
3.85 16 5 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1.35 25 0
6.18 14 9 3 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1.82 81 9
2.91 11 1 0 0 1 0 3 1 1 0 0 0 0 0 0 1 0 1 0 0 1.07 1 0
6.25 16 2 1 1 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1.83 4 1
6.25 12 13 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1.83 169 0
9.05 12 10 2 0 0 1 3 1 1 0 0 1 0 0 0 0 0 1 0 0 2.2 100 4
10 17 5 3 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 2.3 25 9
11.11 12 30 8 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 2.41 900 64
6.88 12 31 19 0 0 1 3 1 1 0 0 0 0 0 0 0 1 0 0 1 1.93 961 361
8.75 16 1 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 2.17 1 4
10 8 9 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 2.3 81 0
3.05 12 10 0 0 1 1 2 1 1 0 0 0 0 0 1 0 0 0 0 0 1.12 100 0
3 12 38 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1.1 1444 0
5.8 12 19 6 0 1 1 2 0 1 0 0 0 1 0 0 0 0 0 0 0 1.76 361 36
4.1 16 5 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1.41 25 0
8 12 26 2 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 2.08 676 4
6.15 12 35 12 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1.82 1225 144
2.7 9 2 0 0 1 0 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0.99 4 0
2.75 13 1 2 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1.01 1 4
3 16 19 10 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 1.1 361 100
3 14 3 2 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1.1 9 4
7.36 8 36 24 0 0 1 3 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1296 576
7.5 14 29 24 0 0 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 2.01 841 576
3.5 13 1 2 0 0 0 3 1 1 0 0 0 0 0 1 0 0 0 0 0 1.25 1 4
8.1 12 38 3 0 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 2.09 1444 9
3.75 18 1 2 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 1.32 1 4
3.25 9 29 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1.18 841 0
5.83 8 36 15 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1.76 1296 225
3.5 8 4 0 0 0 0 3 1 0 0 0 0 0 0 1 0 0 0 0 1 1.25 16 0
3.33 12 45 4 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1.2 2025 16
4 14 22 3 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1.39 484 9
3.5 12 20 4 0 1 1 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1.25 400 16
6.25 16 5 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1.83 25 0
2.95 8 15 2 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1.08 225 4
5.71 13 10 2 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1.74 100 4
3 9 3 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1.1 9 0
22.86 16 16 7 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 3.13 256 49
9 12 38 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 2.2 1444 1
8.33 15 33 26 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 2.12 1089 676
3 11 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1.1 4 0
5.75 14 6 5 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1.75 36 25
6.76 12 19 3 1 0 1 2 1 0 0 0 0 1 0 0 0 0 0 0 0 1.91 361 9
10 12 29 0 0 0 1 2 1 0 0 0 0 0 0 0 0 1 0 1 0 2.3 841 0
3 12 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1.1 4 0
3.5 18 3 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1.25 9 1
3.25 12 4 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1.18 16 0
4 12 10 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1.39 100 1
2.92 12 4 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1.07 16 0
3.06 12 14 10 1 1 0 3 0 0 1 0 0 0 0 1 0 0 0 0 0 1.12 196 100
3.2 12 15 5 0 1 1 1 0 0 1 0 0 0 0 0 0 1 1 0 0 1.16 225 25
4.75 12 19 0 0 0 1 3 0 0 1 0 0 0 0 0 0 0 0 0 0 1.56 361 0
3 14 17 0 0 1 1 4 1 0 1 0 0 0 0 0 1 0 0 1 0 1.1 289 0
18.16 16 29 7 0 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 2.9 841 49
3.5 12 2 0 0 1 0 2 1 0 1 0 0 0 1 0 0 0 0 1 0 1.25 4 0
4.11 14 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1.41 25 0
1.96 11 38 3 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0.67 1444 9
4.29 12 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1.46 9 0
3 10 47 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1.1 2209 0
6.45 12 7 6 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1.86 49 36
5.2 6 47 13 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1.65 2209 169
4.5 13 23 2 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 1.5 529 4
3.88 12 12 3 0 0 1 3 1 0 1 0 0 0 0 1 0 0 0 1 0 1.36 144 9
3.45 10 11 0 0 1 0 2 1 0 1 0 0 0 0 1 0 0 0 0 1 1.24 121 0
10.91 12 25 23 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 2.39 625 529
4.1 14 6 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1.41 36 0
3 13 3 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1.1 9 1
5.9 12 14 7 1 0 1 2 1 0 1 0 0 0 0 0 1 0 0 0 0 1.77 196 49
18 18 13 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 2.89 169 0
4 12 9 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1.39 81 0
3 12 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1.1 1 0
3.55 12 6 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1.27 36 0
3 12 11 1 0 1 1 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1.1 121 1
8.75 12 47 44 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17 2209 1936
2.9 8 49 6 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1.06 2401 36
6.26 13 37 17 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1.83 1369 289
3.5 13 2 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1.25 4 0
